ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,description,categories,category
0446612766,Still Life with Crows,Douglas Preston,2004,Warner Books,"A small Kansas town has turned into a killing ground. Is it a serial killer, a man with the need to destroy? Or is it a darker force, a curse upon the land? Amid golden cornfields, FBI Special Agent Pendergast discovers evil in the blood of America's heartland. No one is safe.",Fiction,Fiction
0446673781,One L : The Turbulent True Story of a First Year at Harvard Law School,Scott Turow,1997,Warner Books,"Newsweek calls him ""an extraordinarily canny and empathetic observer."" In bestseller after bestseller, Turow uses his background as a lawyer to create suspense fiction so authentic it reads with the hammering impact of fact. But before he became a worldwide sensation, Scott Turow wrote a book that is entirely true, the account of his own searing indoctrination into the field of law called ... The first year of law school is an intellectual and emotional ordeal so grueling that it ensures only the fittest survive. Now Scott Turow takes you inside the oldest and most prestigious law school in the country when he becomes a ""One L,"" as entering students are known at Harvard Law School. In a book that became a national bestseller, a law school primer, and a classic autobiography, he brings to life the fascinating, shocking reality of that first year. Provocative and riveting, One L reveals the experience directly from the combat zone: the humiliations, triumphs, hazings, betrayals, and challenges that will make him a lawyer-and forever change Turow's mind, test his principles, and expose his heart.",Law,Law
0446676438,When the Wind Blows,James Patterson,2000,Warner Books,"Frannie O'Neill is a young and talented veterinarian living in Colorado. Plagued by the mysterious murder of her husband, David, a local doctor, Frannie throws herself into her work. It is not long before another bizarre murder occurs and Kit Harrison, a troubled and unconventional FBI agent, arrives on her doorstep. Late one night, near the woods of her animal hospital, Frannie stumbles upon a strange, astonishing phenomenon that will change the course of her life forever.... Her name is Max. With breathtaking energy, eleven-year-old Max leads Frannie and Kit to uncover one of the most diabolical and inhuman plots of modern science. When the Wind Blows is as unique a story as has ever been told, filled with suspense and passion.",Fiction,Fiction
0446676500,"The Autobiography of Martin Luther King, Jr.",Martin Luther King Jr.,2001,Warner Books,"With knowledge, spirit, good humor, and passion, THE AUTOBIOGRAPHY OF MARTIN LUTHER KING, JR. brings to life a remarkable man whose thoughts and actions speak to our most burning contemporary issues and still inspire the desires, hopes, and dreams of us all. Written in his own words, this history-making autobiography is Martin Luther King: the mild-mannered, inquisitive child and student who chafed under and eventually rebelled against segregation; the dedicated young minister who continually questioned the depths of his faith and the limits of his wisdom; the loving husband and father who sought to balance his family's needs with those of a growing, nationwide movement; and the reflective, world-famous leader who was fired by a vision of equality for people everywhere. Relevant and insightful, THE AUTOBIOGRAPHY OF MARTIN LUTHER KING, JR. offers King's seldom disclosed views on some of the world's greatest and most controversial figures: John F. Kennedy, Malcolm X, Lyndon B. Johnson, Mahatma Gandhi, and Richard Nixon. It also paints a rich and moving portrait of a people, a time, and a nation in the face of powerful change. Finally, it shows how everyday Americans from all walks of life confronted themselves, each other, and the burden of the past-and how their fears and courage helped shape our future.",Biography & Autobiography,Biography & Autobiography
0446677493,Hope Is the Thing with Feathers : A Personal  Chronicle of Vanished Birds,Christopher Cokinos,2001,Warner Books,"Presents the histories of six extinct North American birds, how they were killed and who attempted to protect them, and discusses what can be learned from these losses to save today's endangered wildlife.",Nature,Science & Nature
0446678457,Cane River (Oprah's Book Club (Paperback)),Lalita Tademy,2002,Warner Books,"The ""New York Times"" bestseller and Oprah's Book Club Pick--the unique and deeply moving epic of four generations of African-American women based on one family's ancestral past.",Fiction,Fiction
0446679089,Plum Island,Nelson DeMille,2002,Warner Books,"The hair-raising suspense of The General's Daughter... the wry wit of The Gold Coast...this is vintage Nelson DeMille at the peak of his originality and the height of his powers...Wounded in the line of duty, NYPD homicide cop John Corey is convalescing in rural eastern Long Island when an attractive young couple he knows is found shot to death on the family patio. The victims were biologists at Plum Island, a research site rumored to be an incubator for germ warfare.Suddenly, a local double murder takes on shattering global implications -- and thrusts Corey and two extraordinary women into a dangerous search for the secret of PLUM ISLAND....",Fiction,Fiction
0446691402,Gloriana : Or the Unfulfill'd Queen,Michael Moorcock,2004,Aspect,"A fable satirizing Spenser's ""The Fairie Queen"" and reflecting the real life of Elizabeth I, tells of a woman who ascends to the throne upon the death of her debauched and corrupted father, King Hern. Gloriana's reign brings the Empire of Albion into a Golden Age, but her oppressive responsibilities choke her, prohibiting any form of sexual satisfaction, no matter what fetish she tries. Her problem is in fact symbolic of the hypocrisy of her entire court. While her life is meant to mirror that of her nation - an image of purity, virtue, enlightenment and prosperity - the truth is that her peaceful empire is kept secure by her wicked chancellor Monfallcon and his corrupt network of spies and murderers, the most sinister of whom is Captain Quire, who is commissioned to seduce Gloriana and thus bring down Albion and the entire empire.",Fiction,Fiction
0446691437,The War of Art: Break Through the Blocks and Win Your Inner Creative Battles,Steven Pressfield,2003,Warner Books,"The Art of War meets ""The Artist's Way"" in this no-nonsense, profoundly inspiring guide to overcoming creative blocks of every kind.",Self-Help,Self-care
0446692514,Feynman's Rainbow : A Search for Beauty in Physics and in Life,Leonard Mlodinow,2004,Warner Books,"As a young physicist, Leonard Mlodinow looked for guidance from his mentor, the Nobel Prize-winning physicist Richard Feynman. Drawing on transcripts from their meetings during their time together at Cal Tech, Mlodinow shares Feynman's provocative thoughts and observations. At once a moving portrait of a friendship and an affecting account of Feynman's final, creative years, this book celebrates the inspiring legacy of one of the greatest thinkers of our time.",Science,Science & Nature
0448095157,"The Haunted Bridge (Nancy Drew Mystery Stories, No 15)",Carolyn Keene,1937,Grosset &amp; Dunlap,Nancy Drew becomes involved in a double mystery concerning a haunted bridge and jewel thieves.,Juvenile Fiction,Juvenile
0448400634,Anne of Avonlea: An Anne of Green Gables Story (Illustrated Junior Library Edition),L. M. Montgomery,1990,Grosset &amp; Dunlap,Sixteen-year-old Anne returns to Avonlea to teach in her former school and works to gain the respect of pupils not much younger than she,Juvenile Fiction,Juvenile
0448409577,The Mysteries of Sherlock Holmes (Illustrated Junior Library),"Arthur Conan, Sir Doyle",1996,Grosset &amp; Dunlap,"Amateur detective Sherlock Holmes, the master of deductive reasoning, solves several mysteries with the aid of his friend, Dr. John Watson. @KeepDiggingWatson Why are the lights at 221 Baker Street so damn bright in the morning? Why does Watson talk so loud? Elementary, my dear STFU! From Twitterature: The World's Greatest Books in Twenty Tweets or Less",Juvenile Fiction,Juvenile
0449001156,The Gift of Asher Lev,Chaim Potok,1991,Ballantine Books,"When the death of a beloved uncle brings him back to his native Brooklyn after two decades, painter Asher Lev is plunged into a conflict between the culture into which he was born and the life that he has forged for himself.",Fiction,Fiction
0449001172,Wartime Lies : A Novel,LOUIS BEGLEY,1997,Ballantine Books,"A haunting, unforgettable novel about an orphaned boy and his gallant aunt, and how, assuming false identities, they survive the horrors of war. Louis Begley's extraordinary novel is a work of wisdom and lyric power about the complex, terrifying process of growing up when the adult world has become insane.",Fiction,Fiction
0449001245,Naked Came the Manatee,Carl Hiaasen,1998,Ballantine Books,"A story of suspense written serially by thirteen Florida writers--including Dave Barry, Carl Hiaasen, and Elmore Leonard--features such strange occurances as a riot in Coconut Grove and an appearance by Fidel Castro.",Fiction,Fiction
0449001962,"Murder in Foggy Bottom (Truman, Margaret, Capital Crimes Series.)",Margaret Truman,2002,Fawcett Books,"Three plane crashes bring together the efforts of suave investigator Max Pauling, a beautiful bird-watcher, and a shady militia group, in a mystery that takes readers from the State Department to the rogue black markets of Russia. Reprint.",Fiction,Fiction
